Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		
UV		Conductivity		Gradient Concentration		System Flow		Pressure		Fraction		Run Log		
ml	mAU	ml	mS/cm	ml	%B	ml	ml/min	ml	MPa	ml	Fraction	ml	Logbook	
51.83	2000	51.83	17.25	51.83	0	51.83	3	51.83	0.07					
52.03	2000	52.03	17.25	52.03	0	52.03	3	52.03	0.07					
52.23	2000	52.23	17.25	52.23	0	52.23	3	52.23	0.08					
52.429	2000	52.429	17.25	52.429	0	52.429	3	52.429	0.08					
52.629	2000	52.629	17.25	52.629	0	52.629	3	52.629	0.08					
52.829	2000	52.829	17.25	52.829	0	52.829	3	52.829	0.08					
53.029	2000	53.029	17.25	53.029	0	53.029	3	53.029	0.08					
53.229	2000	53.229	17.25	53.229	0	53.229	3	53.229	0.08					
53.429	2000	53.429	17.25	53.429	0	53.429	3	53.429	0.07					
53.629	2000	53.629	17.25	53.629	0	53.629	3	53.629	0.08					
53.829	2000	53.829	17.25	53.829	0	53.829	3	53.829	0.08					
54.029	2000	54.029	17.25	54.029	0	54.029	3	54.029	0.08					
54.229	2000	54.229	17.25	54.229	0	54.229	3	54.229	0.08					
54.429	2000	54.429	17.25	54.429	0	54.429	3	54.429	0.08					
54.629	2000	54.629	17.25	54.629	0	54.629	3	54.629	0.08					
54.829	2000	54.829	17.25	54.829	0	54.829	3	54.829	0.07					
55.029	2000	55.029	17.25	55.029	0	55.029	3	55.029	0.08					
55.229	2000	55.229	17.25	55.229	0	55.229	3	55.229	0.08					
55.429	2000	55.429	17.25	55.429	0	55.429	3	55.429	0.08					
55.629	2000	55.629	17.25	55.629	0	55.629	3	55.629	0.08					
55.829	2000	55.829	17.25	55.829	0	55.829	3	55.829	0.08					
56.029	2000	56.029	17.25	56.029	0	56.029	3	56.029	0.08					
56.229	2000	56.229	17.25	56.229	0	56.229	3	56.229	0.08					
56.429	2000	56.429	17.25	56.429	0	56.429	3	56.429	0.08					
56.629	2000	56.629	17.25	56.629	0	56.629	3	56.629	0.08					
56.829	2000	56.829	17.25	56.829	0	56.829	3	56.829	0.07					
57.029	2000	57.029	17.25	57.029	0	57.029	3	57.029	0.08					
57.229	2000	57.229	17.25	57.229	0	57.229	3	57.229	0.08					
